Payer,Policy Category,Policy Type,Code,Code Description,Service Type,Policy or Diagnosis detail,Source,Policy,Annual Claim Paid
United Healthcare,Reimnbursement,NCCI,84153,Assay Of Prostate Specific Antigen Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,831,501"
United Healthcare,Reimnbursement,NCCI,84436,Assay Of Thyroxine Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,135,486"
United Healthcare,Reimnbursement,NCCI,86704,Hepatitis B Core Antibody Hbcab Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,006,436"
United Healthcare,Reimnbursement,NCCI,86706,Hepatitis B Surf Antibody Hbsab,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,576,211"
United Healthcare,Reimnbursement,NCCI,87340,IAAD IA HEPATITIS B SURFACE ANTIGEN,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,600,326"
United Healthcare,Reimnbursement,NCCI,84479,Thyroid Horm Uptk/Thyroid Hormone Binding Ratio,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,235,422"
United Healthcare,Reimnbursement,NCCI,83550,Iron Binding Capacity,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,249,335"
United Healthcare,Reimnbursement,NCCI,94760,Noninvasive Ear/Pulse Oximetry Single Deter,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,338,218"
United Healthcare,Reimnbursement,NCCI,94760,Noninvasive Ear/Pulse Oximetry Single Deter,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,758,531"
United Healthcare,Reimnbursement,NCCI,76376,3D Rendering W/Interp & Postprocess Supervision,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,071,722"
United Healthcare,Reimnbursement,NCCI,0242U,TRGT GEN SEQ ALYS PNL SOLID ORGN NEO DNA 55-74,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,206,667"
United Healthcare,Reimnbursement,NCCI,99232,SBSQ HOSPITAL IP/OBS CARE MOD MDM 35 MINUTES,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,412,338"
United Healthcare,Reimnbursement,NCCI,96127,Behav Assmt W/Score & Docd/Stand Instrument,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,450,373"
United Healthcare,Reimnbursement,NCCI,99285,EMERGENCY DEPARTMENT VISIT HIGH MDM,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,766,940"
United Healthcare,Reimnbursement,NCCI,83550,Iron Binding Capacity,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,780,125"
United Healthcare,Reimnbursement,NCCI,78226,Hepatobiliary Syst Imaging Including Gallbladder,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,178,025"
United Healthcare,Reimnbursement,NCCI,45378,Colonoscopy Flx Dx W/Collj Spec When Pfrmd,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,536,329"
United Healthcare,Reimnbursement,NCCI,44180,Laparoscopy Enterolysis Separate Procedure,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,400,014"
United Healthcare,Reimnbursement,NCCI,44950,Appendectomy,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,416,060"
United Healthcare,Reimnbursement,NCCI,44204,Laparoscopy Colectomy Partial W/Anastomosis,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,895,463"
United Healthcare,Reimnbursement,NCCI,99233,SBSQ HOSPITAL IP/OBS CARE HIGH MDM 50 MINUTES,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,749,108"
United Healthcare,Reimnbursement,NCCI,99477,Initial Hosp Neonate 28 D/< Not Critically Ill,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,079,181"
United Healthcare,Reimnbursement,NCCI,81015,Urinalysis Microscopic Only,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,369,259"
United Healthcare,Reimnbursement,NCCI,99222,1ST HOSPITAL IP/OBS CARE MODERATE MDM 55 MINUTES,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,141,304"
United Healthcare,Reimnbursement,NCCI,58660,Laparoscopy W/Lysis Of Adhesions,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,557,262"
United Healthcare,Reimnbursement,NCCI,58700,Salpingectomy Complete/Partial Uni/Bi Spx,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,114,193"
United Healthcare,Reimnbursement,NCCI,77432,Steretctc Radiation Tx Management Cranial Lesion,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,415,691"
United Healthcare,Reimnbursement,NCCI,G0121,Colon ca scrn not hi rsk ind,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,053,168"
United Healthcare,Reimnbursement,NCCI,93355,Echo Tee Guid Tcat Icar/Vessel Structural Intvn,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,478,347"
United Healthcare,Reimnbursement,NCCI,99231,SBSQ HOSPITAL IP/OBS CARE SF/LOW MDM 25 MINUTES,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,844,247"
United Healthcare,Reimnbursement,NCCI,71271,COMPUTED TOMOGRAPHY THORAX LW DOSE LNG CA SCR C-,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,447,278"
United Healthcare,Reimnbursement,NCCI,99284,EMERGENCY DEPARTMENT VISIT MODERATE MDM,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,510,597"
United Healthcare,Reimnbursement,NCCI,918,Anes Trurl Fragmntj Manj&/Rmvl Ureteral Calculus,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,741,203"
United Healthcare,Reimnbursement,NCCI,77014,Ct Guidance Radiation Therapy Flds Placement,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,385,226"
United Healthcare,Reimnbursement,NCCI,11982,Removal Non-Biodegradable Drug Delivery Implant,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,499,259"
United Healthcare,Reimnbursement,NCCI,43235,Esophagogastroduodenoscopy Transoral Diagnostic,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,391,360"
United Healthcare,Reimnbursement,NCCI,99156,Mod Sed Other Phys/Qhp Initial 15 Mins 5/> Yrs,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,272,197"
United Healthcare,Reimnbursement,NCCI,99211,OFFICE/OUTPATIENT EST PT MAY NOT REQ PHYS/QHP,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,985,145"
United Healthcare,Reimnbursement,NCCI,G0444,Depression screen annual,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,146,398"
United Healthcare,Reimnbursement,NCCI,77061,Digital Breast Tomosynthesis Unilateral,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,065,651"
United Healthcare,Reimnbursement,NCCI,99238,HOSPITAL IP/OBS DISCHARGE DAY MGMT 30 MIN/<,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,460,965"
United Healthcare,Reimnbursement,NCCI,15769,GRAFTING OF AUTOLOGOUS SOFT TISS BY DIRECT EXC,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,152,730"
United Healthcare,Reimnbursement,NCCI,G0105,Colorectal scrn; hi risk ind,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,243,028"
United Healthcare,Reimnbursement,NCCI,69210,Removal Impacted Cerumen Instrumentation Unilat,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,750,333"
United Healthcare,Reimnbursement,NCCI,99460,1St Hosp/Birthing Center Care Per Day Nml Nb,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,262,915"
United Healthcare,Reimnbursement,NCCI,11102,TANGENTIAL BIOPSY SKIN SINGLE LESION,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,879,534"
United Healthcare,Reimnbursement,NCCI,69990,Microsurg Tqs Req Use Operating Microscope,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,124,355"
United Healthcare,Reimnbursement,NCCI,90837,Psychotherapy W/Patient 60 Minutes,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,882,007"
United Healthcare,Reimnbursement,NCCI,52310,Cysto W/Simple Removal Stone & Stent,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,240,060"
United Healthcare,Reimnbursement,NCCI,87428,IAAD IA SARSCOV & INFLUENZA VIRUS TYPES A&B,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,324,062"
United Healthcare,Reimnbursement,NCCI,99221,1ST HOSPITAL IP/OBS CARE SF/LOW MDM 40 MINUTES,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,488,428"
United Healthcare,Reimnbursement,NCCI,44360,Endoscopy Upper Small Intestine,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,916,590"
United Healthcare,Reimnbursement,NCCI,86709,Hepatitis Antibody Haab Igm Antibody,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,382,857"
United Healthcare,Reimnbursement,NCCI,77065,Diagnostic Mammography Computer-Aided Detcj Uni,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,886,915"
United Healthcare,Reimnbursement,NCCI,92202,OPSCPY EXTND OPTIC NRV/MACULA DRAWING I&R UNI/BI,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,504,452"
United Healthcare,Reimnbursement,NCCI,87426,IAAD IA SEVERE AQT RESPIR SYND CORONAVIRUS,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,313,994"
United Healthcare,Reimnbursement,NCCI,99203,OFFICE/OUTPATIENT NEW LOW MDM 30 MINUTES,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,589,543"
United Healthcare,Reimnbursement,NCCI,G0480,Drug test def 1-7 classes,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,930,652"
United Healthcare,Reimnbursement,NCCI,99214,OFFICE/OUTPATIENT ESTABLISHED MOD MDM 30 MIN,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,831,697"
United Healthcare,Reimnbursement,NCCI,95911,Nerve Conduction Studies 9-10 Studies,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,783,323"
Aetna,Clinical,Coding Guidline,,,IP,Sepsis,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/clinical-guidelines/sepsis.pdf,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/clinical-guidelines/sepsis.pdf,"$50,000,000"
Aetna,Reimnbursement,NCCI,70450,Ct Head/Brain W/O Contrast Material,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,000,000"
Aetna,Reimnbursement,NCCI,94002,Ventilation Assist & Mgmt Inpatient 1St Day,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,531,069"
Aetna,Reimnbursement,NCCI,80048,Basic Metabolic Panel Calcium Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,458,838"
Aetna,Reimnbursement,NCCI,94003,Ventilation Assist & Mgmt Inpatient Ea Sbsq Da,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,397,872"
Aetna,Reimnbursement,NCCI,96523,Irrigaj Implntd Venous Access Drug Delivery Syst,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,222,112"
Aetna,Reimnbursement,NCCI,80076,Hepatic Function Panel,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,985,579"
Aetna,Reimnbursement,NCCI,G0472,Hep c screen high risk/other,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,792,638"
Aetna,Reimnbursement,NCCI,84480,Assay Of Triiodothyronine T3 Total Tt3,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,233,603"
Aetna,Reimnbursement,NCCI,94010,Spmtry W/Vc Expiratory Flo W/Wo Mxml Vol Vntj,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,805,339"
Aetna,Reimnbursement,NCCI,84153,Assay Of Prostate Specific Antigen Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,894,076"
Aetna,Reimnbursement,NCCI,84436,Assay Of Thyroxine Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,592,637"
Aetna,Reimnbursement,NCCI,86704,Hepatitis B Core Antibody Hbcab Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,481,485"
Aetna,Reimnbursement,NCCI,86706,Hepatitis B Surf Antibody Hbsab,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,505,336"
Aetna,Reimnbursement,NCCI,87340,IAAD IA HEPATITIS B SURFACE ANTIGEN,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,427,535"
Aetna,Reimnbursement,NCCI,84479,Thyroid Horm Uptk/Thyroid Hormone Binding Ratio,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,868,557"
Aetna,Reimnbursement,NCCI,83550,Iron Binding Capacity,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,954,686"
Aetna,Reimnbursement,NCCI,94760,Noninvasive Ear/Pulse Oximetry Single Deter,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,142,231"
Aetna,Reimnbursement,NCCI,94760,Noninvasive Ear/Pulse Oximetry Single Deter,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,829,292"
Aetna,Reimnbursement,NCCI,76376,3D Rendering W/Interp & Postprocess Supervision,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,544,531"
Aetna,Reimnbursement,NCCI,0242U,TRGT GEN SEQ ALYS PNL SOLID ORGN NEO DNA 55-74,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,422,828"
Aetna,Reimnbursement,NCCI,99232,SBSQ HOSPITAL IP/OBS CARE MOD MDM 35 MINUTES,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,744,667"
Aetna,Reimnbursement,NCCI,96127,Behav Assmt W/Score & Docd/Stand Instrument,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,568,066"
Aetna,Reimnbursement,NCCI,99285,EMERGENCY DEPARTMENT VISIT HIGH MDM,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,573,950"
Aetna,Reimnbursement,NCCI,83550,Iron Binding Capacity,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,948,900"
Aetna,Reimnbursement,NCCI,78226,Hepatobiliary Syst Imaging Including Gallbladder,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,371,321"
Aetna,Reimnbursement,NCCI,45378,Colonoscopy Flx Dx W/Collj Spec When Pfrmd,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,879,553"
Aetna,Reimnbursement,NCCI,44180,Laparoscopy Enterolysis Separate Procedure,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,865,089"
Aetna,Reimnbursement,NCCI,44950,Appendectomy,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,674,548"
Aetna,Reimnbursement,NCCI,44204,Laparoscopy Colectomy Partial W/Anastomosis,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,785,947"
Aetna,Reimnbursement,NCCI,99233,SBSQ HOSPITAL IP/OBS CARE HIGH MDM 50 MINUTES,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,085,757"
Aetna,Reimnbursement,NCCI,99477,Initial Hosp Neonate 28 D/< Not Critically Ill,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,178,173"
Aetna,Reimnbursement,NCCI,81015,Urinalysis Microscopic Only,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,573,066"
Aetna,Reimnbursement,NCCI,99222,1ST HOSPITAL IP/OBS CARE MODERATE MDM 55 MINUTES,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,289,241"
Aetna,Reimnbursement,NCCI,58660,Laparoscopy W/Lysis Of Adhesions,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,278,894"
Aetna,Reimnbursement,NCCI,58700,Salpingectomy Complete/Partial Uni/Bi Spx,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,588,279"
Aetna,Reimnbursement,NCCI,77432,Steretctc Radiation Tx Management Cranial Lesion,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,351,439"
